batting_team,batter,won,innings,wickets_fallen,bowling_team,venue,first_ball
Australia,AJ Finch,1.0,1,0,West Indies,Daren Sammy National Cricket Stadium,1
Australia,AJ Finch,1.0,1,1,West Indies,Brisbane Cricket Ground,12
Australia,AJ Finch,1.0,1,0,Zimbabwe,Harare Sports Club,1
Australia,AJ Finch,1.0,2,0,Bangladesh,Shere Bangla National Stadium,1
Australia,AJ Finch,1.0,2,0,Bangladesh,Dubai International Cricket Stadium,1
Australia,AJ Finch,1.0,1,0,England,The Rose Bowl,1
Australia,AJ Finch,0.0,2,0,England,Riverside Ground,1
Australia,AJ Finch,1.0,2,3,England,Melbourne Cricket Ground,80
Australia,AJ Finch,0.0,2,0,England,Edgbaston,1
Australia,AJ Finch,0.0,2,0,England,The Rose Bowl,1
Australia,AJ Finch,1.0,2,0,England,The Rose Bowl,1
Australia,AJ Finch,0.0,2,2,England,Perth Stadium,52
Australia,AJ Finch,0.0,2,0,England,Manuka Oval,1
Australia,AJ Finch,0.0,1,0,India,Saurashtra Cricket Association Stadium,1
Australia,AJ Finch,0.0,1,0,India,Punjab Cricket Association IS Bindra Stadium,1
Australia,AJ Finch,1.0,2,0,India,Barsapara Cricket Stadium,0
Australia,AJ Finch,1.0,2,2,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13
Australia,AJ Finch,1.0,2,1,India,M. Chinnaswamy Stadium,15
Australia,AJ Finch,0.0,2,0,India,Manuka Oval,1
Australia,AJ Finch,1.0,2,0,India,Punjab Cricket Association IS Bindra Stadium,1
Australia,AJ Finch,1.0,2,3,New Zealand,Eden Park,93
Australia,AJ Finch,1.0,2,3,New Zealand,Eden Park,64
Australia,AJ Finch,0.0,2,0,New Zealand,Hagley Oval,1
Australia,AJ Finch,0.0,2,0,New Zealand,University Oval,1
Australia,AJ Finch,1.0,2,0,New Zealand,Dubai International Cricket Stadium,1
Australia,AJ Finch,0.0,2,0,New Zealand,Sydney Cricket Ground,1
Australia,AJ Finch,1.0,2,0,Pakistan,Harare Sports Club,1
Australia,AJ Finch,0.0,2,0,Pakistan,Harare Sports Club,1
Australia,AJ Finch,0.0,2,0,Pakistan,Sheikh Zayed Stadium,1
Australia,AJ Finch,0.0,2,0,Pakistan,Dubai International Cricket Stadium,1
Australia,AJ Finch,0.0,2,0,Pakistan,Dubai International Cricket Stadium,1
Australia,AJ Finch,1.0,2,0,Pakistan,Dubai International Cricket Stadium,1
Australia,AJ Finch,1.0,2,0,Pakistan,Gaddafi Stadium,1
Australia,AJ Finch,1.0,2,0,South Africa,Kingsmead,1
Australia,AJ Finch,1.0,2,0,South Africa,SuperSport Park,1
Australia,AJ Finch,0.0,1,0,South Africa,Kingsmead,1
Australia,AJ Finch,1.0,2,0,South Africa,New Wanderers Stadium,1
Australia,AJ Finch,0.0,2,0,South Africa,Carrara Oval,1
Australia,AJ Finch,1.0,1,0,South Africa,New Wanderers Stadium,1
Australia,AJ Finch,0.0,2,0,South Africa,St George's Park,1
Australia,AJ Finch,1.0,1,0,South Africa,Newlands Cricket Ground,1
Australia,AJ Finch,1.0,2,0,South Africa,Zayed Cricket Stadium,1
Australia,AJ Finch,1.0,2,0,Sri Lanka,Dubai International Cricket Stadium,1
Australia,AJ Finch,1.0,2,1,Sri Lanka,Manuka Oval,2
Australia,AJ Finch,1.0,2,1,Sri Lanka,Melbourne Cricket Ground,26
Australia,AJ Finch,1.0,2,0,Sri Lanka,R. Premadasa Stadium,1
Australia,AJ Finch,1.0,2,0,Sri Lanka,R. Premadasa Stadium,1
Australia,AJ Finch,1.0,2,0,Sri Lanka,Perth Stadium,1
Australia,AJ Finch,0.0,2,0,West Indies,Daren Sammy National Cricket Stadium,1
Australia,AJ Finch,0.0,2,0,West Indies,Daren Sammy National Cricket Stadium,1
Australia,AJ Finch,0.0,2,0,West Indies,Daren Sammy National Cricket Stadium,1
Australia,AJ Finch,1.0,2,0,West Indies,Zayed Cricket Stadium,1
Australia,AJ Finch,1.0,2,2,West Indies,Carrara Oval,13
Australia,AJ Finch,1.0,2,0,Zimbabwe,Harare Sports Club,1
Australia,M Klinger,0.0,1,0,Sri Lanka,Melbourne Cricket Ground,1
Australia,M Klinger,0.0,1,0,Sri Lanka,GMHBA Stadium,1
Australia,M Klinger,1.0,1,0,Sri Lanka,Adelaide Oval,1
Australia,TM Head,0.0,2,2,India,Adelaide Oval,55
Australia,TM Head,0.0,1,3,India,Sydney Cricket Ground,56
Australia,TM Head,0.0,1,2,India,JSCA International Stadium Complex,40
Australia,TM Head,1.0,1,0,New Zealand,Eden Park,1
Australia,TM Head,1.0,1,0,New Zealand,Eden Park,1
Australia,TM Head,0.0,1,3,Pakistan,Harare Sports Club,95
Australia,TM Head,1.0,1,0,South Africa,Kingsmead,1
Australia,TM Head,0.0,1,1,Sri Lanka,Melbourne Cricket Ground,64
Australia,TM Head,0.0,1,3,Sri Lanka,GMHBA Stadium,81
Australia,TM Head,1.0,1,2,Sri Lanka,Adelaide Oval,85
Australia,TM Head,1.0,2,4,England,Bellerive Oval,71
Australia,TM Head,0.0,2,2,England,Edgbaston,23
Australia,TM Head,1.0,2,2,India,Barsapara Cricket Stadium,18
Australia,TM Head,1.0,2,0,India,Barsapara Cricket Stadium,1
Australia,TM Head,0.0,2,0,India,Shaheed Veer Narayan Singh International Stadium,1
Australia,TM Head,0.0,2,0,India,M. Chinnaswamy Stadium,1
Australia,TM Head,1.0,2,0,New Zealand,Sky Stadium,1
Australia,TM Head,1.0,2,1,Pakistan,Harare Sports Club,21
Australia,TM Head,0.0,2,1,Pakistan,Harare Sports Club,27
Australia,TM Head,1.0,2,0,Pakistan,Gaddafi Stadium,1
Australia,TM Head,1.0,2,0,South Africa,Kingsmead,1
Australia,TM Head,1.0,2,1,South Africa,Kingsmead,1
Australia,TM Head,1.0,1,2,Sri Lanka,Pallekele International Cricket Stadium,81
Australia,TM Head,1.0,2,5,Sri Lanka,R. Premadasa Stadium,91
Australia,TM Head,1.0,2,1,Zimbabwe,Harare Sports Club,14
Australia,MC Henriques,0.0,1,2,Bangladesh,Shere Bangla National Stadium,35
Australia,MC Henriques,0.0,1,3,India,JSCA International Stadium Complex,60
Australia,MC Henriques,0.0,1,3,India,Sydney Cricket Ground,77
Australia,MC Henriques,1.0,1,3,India,Sydney Cricket Ground,111
Australia,MC Henriques,1.0,1,6,New Zealand,Sydney Cricket Ground,113
Australia,MC Henriques,0.0,1,2,Sri Lanka,Melbourne Cricket Ground,70
Australia,MC Henriques,0.0,1,2,Sri Lanka,GMHBA Stadium,41
Australia,MC Henriques,1.0,1,4,Sri Lanka,Adelaide Oval,111
Australia,MC Henriques,0.0,1,3,West Indies,Daren Sammy National Cricket Stadium,68
Australia,MC Henriques,1.0,1,3,West Indies,Daren Sammy National Cricket Stadium,71
Australia,MC Henriques,0.0,2,2,Bangladesh,Shere Bangla National Stadium,11
Australia,MC Henriques,0.0,2,2,Bangladesh,Shere Bangla National Stadium,81
Australia,MC Henriques,1.0,2,3,Bangladesh,Shere Bangla National Stadium,33
Australia,MC Henriques,0.0,2,4,Bangladesh,Shere Bangla National Stadium,54
Australia,MC Henriques,0.0,1,5,India,Saurashtra Cricket Association Stadium,82
Australia,MC Henriques,1.0,2,1,India,Barsapara Cricket Stadium,10
Australia,MC Henriques,0.0,2,3,India,Manuka Oval,64
Australia,MC Henriques,1.0,2,1,Sri Lanka,R. Premadasa Stadium,52
Australia,MC Henriques,0.0,2,3,West Indies,Daren Sammy National Cricket Stadium,32
Australia,MC Henriques,0.0,2,3,West Indies,Daren Sammy National Cricket Stadium,48
Australia,MC Henriques,0.0,2,2,West Indies,Daren Sammy National Cricket Stadium,26
Australia,AJ Turner,0.0,1,4,Bangladesh,Shere Bangla National Stadium,98
Australia,AJ Turner,1.0,2,3,Pakistan,Manuka Oval,79
Australia,AJ Turner,0.0,1,3,Sri Lanka,Melbourne Cricket Ground,92
Australia,AJ Turner,0.0,1,4,Sri Lanka,GMHBA Stadium,87
Australia,AJ Turner,1.0,1,4,Sri Lanka,Adelaide Oval,112
Australia,AJ Turner,1.0,1,2,Sri Lanka,Adelaide Oval,118
Australia,AJ Turner,1.0,2,3,Sri Lanka,Melbourne Cricket Ground,78
Australia,AJ Turner,0.0,1,4,West Indies,Daren Sammy National Cricket Stadium,72
Australia,AJ Turner,1.0,1,4,West Indies,Daren Sammy National Cricket Stadium,77
Australia,AJ Turner,0.0,2,5,Bangladesh,Shere Bangla National Stadium,81
Australia,AJ Turner,1.0,2,5,Bangladesh,Shere Bangla National Stadium,58
Australia,AJ Turner,0.0,2,5,Bangladesh,Shere Bangla National Stadium,64
Australia,AJ Turner,1.0,2,4,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,93
Australia,AJ Turner,1.0,2,5,South Africa,Kingsmead,104
Australia,JP Faulkner,1.0,2,5,Bangladesh,M. Chinnaswamy Stadium,99
Australia,JP Faulkner,0.0,2,6,India,Adelaide Oval,91
Australia,JP Faulkner,0.0,2,5,India,Melbourne Cricket Ground,93
Australia,JP Faulkner,0.0,2,6,New Zealand,Himachal Pradesh Cricket Association Stadium,110
Australia,JP Faulkner,1.0,2,4,Pakistan,Dubai International Cricket Stadium,53
Australia,JP Faulkner,0.0,1,4,South Africa,Adelaide Oval,63
Australia,JP Faulkner,1.0,2,5,South Africa,Stadium Australia,78
Australia,JP Faulkner,0.0,1,5,Sri Lanka,Melbourne Cricket Ground,113
Australia,JP Faulkner,0.0,1,5,Sri Lanka,GMHBA Stadium,97
Australia,JP Faulkner,1.0,1,5,Sri Lanka,Adelaide Oval,115
Australia,JP Faulkner,0.0,2,5,West Indies,Brisbane Cricket Ground,88
Australia,JP Faulkner,0.0,1,5,West Indies,Shere Bangla National Stadium,70
Australia,JP Faulkner,1.0,1,6,England,The Rose Bowl,116
Australia,JP Faulkner,0.0,2,6,England,Riverside Ground,92
Australia,JP Faulkner,0.0,1,7,India,Saurashtra Cricket Association Stadium,107
Australia,JP Faulkner,0.0,1,5,India,Punjab Cricket Association IS Bindra Stadium,100
Australia,JP Faulkner,1.0,2,5,South Africa,New Wanderers Stadium,115
Australia,JP Faulkner,1.0,2,2,Sri Lanka,R. Premadasa Stadium,56
Sri Lanka,N Dickwella,1.0,2,0,Australia,Melbourne Cricket Ground,1
Sri Lanka,N Dickwella,1.0,2,0,Australia,GMHBA Stadium,1
Sri Lanka,N Dickwella,0.0,1,3,Australia,Brisbane Cricket Ground,54
Sri Lanka,N Dickwella,0.0,1,0,Australia,Melbourne Cricket Ground,1
Sri Lanka,N Dickwella,1.0,2,3,Bangladesh,Shere Bangla National Stadium,52
Sri Lanka,N Dickwella,0.0,2,0,England,R. Premadasa Stadium,1
Sri Lanka,N Dickwella,0.0,2,3,England,The Rose Bowl,29
Sri Lanka,N Dickwella,1.0,2,0,India,Maharashtra Cricket Association Stadium,1
Sri Lanka,N Dickwella,0.0,1,0,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1
Sri Lanka,N Dickwella,0.0,2,0,India,Barabati Stadium,1
Sri Lanka,N Dickwella,0.0,2,0,India,Holkar Cricket Stadium,1
Sri Lanka,N Dickwella,0.0,2,0,New Zealand,Eden Park,1
Sri Lanka,N Dickwella,0.0,2,0,South Africa,SuperSport Park,1
Sri Lanka,N Dickwella,1.0,2,0,South Africa,New Wanderers Stadium,1
Sri Lanka,N Dickwella,1.0,2,0,South Africa,Newlands Cricket Ground,1
Sri Lanka,N Dickwella,-1.0,1,0,South Africa,Newlands Cricket Ground,1
Sri Lanka,N Dickwella,0.0,2,0,South Africa,SuperSport Park,1
Sri Lanka,N Dickwella,0.0,2,0,South Africa,New Wanderers Stadium,1
Sri Lanka,N Dickwella,0.0,1,3,England,Sophia Gardens,76
Sri Lanka,N Dickwella,0.0,1,0,India,R. Premadasa Stadium,1
Sri Lanka,N Dickwella,0.0,1,0,India,Wankhede Stadium,1
Sri Lanka,N Dickwella,0.0,1,2,New Zealand,Pallekele International Cricket Stadium,56
Sri Lanka,N Dickwella,0.0,1,2,New Zealand,Pallekele International Cricket Stadium,39
Sri Lanka,N Dickwella,1.0,1,2,New Zealand,Pallekele International Cricket Stadium,41
Sri Lanka,N Dickwella,0.0,1,0,West Indies,Coolidge Cricket Ground,1
Sri Lanka,N Dickwella,1.0,1,6,West Indies,Coolidge Cricket Ground,117
Sri Lanka,N Dickwella,0.0,1,1,West Indies,Coolidge Cricket Ground,14
Sri Lanka,WU Tharanga,0.0,1,0,Australia,Newlands Cricket Ground,1
Sri Lanka,WU Tharanga,1.0,2,0,Australia,Melbourne Cricket Ground,1
Sri Lanka,WU Tharanga,1.0,2,0,Australia,GMHBA Stadium,1
Sri Lanka,WU Tharanga,0.0,2,0,Australia,Adelaide Oval,1
Sri Lanka,WU Tharanga,1.0,1,0,Bangladesh,New Wanderers Stadium,1
Sri Lanka,WU Tharanga,1.0,2,1,Bangladesh,Shere Bangla National Stadium,30
Sri Lanka,WU Tharanga,1.0,1,0,England,The Rose Bowl,0
Sri Lanka,WU Tharanga,0.0,2,0,India,Barabati Stadium,1
Sri Lanka,WU Tharanga,0.0,2,0,India,Holkar Cricket Stadium,1
Sri Lanka,WU Tharanga,1.0,2,3,India,R. Premadasa Stadium,54
Sri Lanka,WU Tharanga,1.0,2,0,New Zealand,Sky Stadium,1
Sri Lanka,WU Tharanga,0.0,1,0,New Zealand,Eden Park,1
Sri Lanka,WU Tharanga,1.0,2,0,New Zealand,New Wanderers Stadium,1
Sri Lanka,WU Tharanga,0.0,2,0,Pakistan,New Wanderers Stadium,1
Sri Lanka,WU Tharanga,0.0,1,0,Pakistan,Sheikh Zayed Stadium,0
Sri Lanka,WU Tharanga,1.0,2,0,South Africa,Newlands Cricket Ground,1
Sri Lanka,WU Tharanga,1.0,2,0,Bangladesh,R. Premadasa Stadium,1
Sri Lanka,WU Tharanga,0.0,2,1,Bangladesh,R. Premadasa Stadium,3
Sri Lanka,WU Tharanga,1.0,1,2,Bangladesh,Sylhet International Cricket Stadium,94
Sri Lanka,WU Tharanga,0.0,1,4,Bangladesh,R. Premadasa Stadium,91
Sri Lanka,WU Tharanga,0.0,1,2,Bangladesh,R. Premadasa Stadium,25
Sri Lanka,WU Tharanga,0.0,2,1,India,Pallekele International Cricket Stadium,6
Sri Lanka,WU Tharanga,0.0,1,0,India,R. Premadasa Stadium,1
Sri Lanka,WU Tharanga,0.0,1,0,India,Wankhede Stadium,1
Sri Lanka,WU Tharanga,0.0,1,2,India,R. Premadasa Stadium,20
Sri Lanka,EMDY Munaweera,1.0,2,1,Australia,Melbourne Cricket Ground,6
Sri Lanka,EMDY Munaweera,1.0,2,1,Australia,GMHBA Stadium,6
Sri Lanka,EMDY Munaweera,0.0,2,0,Australia,Adelaide Oval,1
Sri Lanka,EMDY Munaweera,0.0,2,0,Pakistan,Gaddafi Stadium,1
Sri Lanka,EMDY Munaweera,1.0,1,0,Bangladesh,Pallekele International Cricket Stadium,1
Sri Lanka,EMDY Munaweera,1.0,2,1,Bangladesh,R. Premadasa Stadium,42
Sri Lanka,EMDY Munaweera,0.0,2,0,Bangladesh,R. Premadasa Stadium,1
Sri Lanka,EMDY Munaweera,0.0,1,1,India,R. Premadasa Stadium,15
Sri Lanka,EMDY Munaweera,0.0,1,0,Pakistan,Sheikh Zayed Stadium,1
Sri Lanka,EMDY Munaweera,0.0,1,0,Pakistan,Sheikh Zayed Stadium,1
Sri Lanka,EMDY Munaweera,0.0,2,1,South Africa,Mahinda Rajapaksa International Cricket Stadium,5
Sri Lanka,EMDY Munaweera,1.0,1,0,Zimbabwe,Mahinda Rajapaksa International Cricket Stadium,1
Sri Lanka,DAS Gunaratne,1.0,2,2,Australia,Melbourne Cricket Ground,54
Sri Lanka,DAS Gunaratne,1.0,2,3,Australia,GMHBA Stadium,22
Sri Lanka,DAS Gunaratne,0.0,2,2,Australia,Adelaide Oval,46
Sri Lanka,DAS Gunaratne,0.0,1,2,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7
Sri Lanka,DAS Gunaratne,0.0,2,3,India,Barabati Stadium,45
Sri Lanka,DAS Gunaratne,0.0,2,3,India,Holkar Cricket Stadium,85
Sri Lanka,DAS Gunaratne,0.0,2,6,South Africa,SuperSport Park,50
Sri Lanka,DAS Gunaratne,1.0,2,4,South Africa,New Wanderers Stadium,88
Sri Lanka,DAS Gunaratne,1.0,2,5,South Africa,Newlands Cricket Ground,106
Sri Lanka,DAS Gunaratne,1.0,2,2,Bangladesh,R. Premadasa Stadium,53
Sri Lanka,DAS Gunaratne,0.0,2,3,Bangladesh,R. Premadasa Stadium,30
Sri Lanka,DAS Gunaratne,0.0,1,3,India,Wankhede Stadium,22
Sri Lanka,TAM Siriwardana,1.0,2,3,Australia,Melbourne Cricket Ground,65
Sri Lanka,TAM Siriwardana,1.0,2,5,Australia,GMHBA Stadium,27
Sri Lanka,TAM Siriwardana,0.0,2,3,Australia,Adelaide Oval,50
Sri Lanka,TAM Siriwardana,0.0,2,4,Bangladesh,Shere Bangla National Stadium,81
Sri Lanka,TAM Siriwardana,0.0,2,1,England,Arun Jaitley Stadium,4
Sri Lanka,TAM Siriwardana,1.0,2,3,India,Maharashtra Cricket Association Stadium,70
Sri Lanka,TAM Siriwardana,0.0,2,5,India,JSCA International Stadium Complex,69
Sri Lanka,TAM Siriwardana,0.0,1,3,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,14
Sri Lanka,TAM Siriwardana,0.0,1,4,India,Shere Bangla National Stadium,67
Sri Lanka,TAM Siriwardana,0.0,2,4,New Zealand,Bay Oval,31
Sri Lanka,TAM Siriwardana,0.0,1,4,New Zealand,Eden Park,59
Sri Lanka,TAM Siriwardana,0.0,1,4,Pakistan,Shere Bangla National Stadium,106
Sri Lanka,TAM Siriwardana,0.0,1,2,South Africa,Arun Jaitley Stadium,31
Sri Lanka,TAM Siriwardana,0.0,2,5,Bangladesh,R. Premadasa Stadium,32
Sri Lanka,TAM Siriwardana,0.0,2,4,Pakistan,R. Premadasa Stadium,61
Sri Lanka,TAM Siriwardana,0.0,1,4,Pakistan,R. Premadasa Stadium,58
Sri Lanka,TAM Siriwardana,0.0,2,4,West Indies,R. Premadasa Stadium,85
Sri Lanka,TAM Siriwardana,0.0,1,4,West Indies,M. Chinnaswamy Stadium,50
Sri Lanka,CK Kapugedera,0.0,2,5,Australia,Kensington Oval,43
Sri Lanka,CK Kapugedera,1.0,2,4,Australia,Melbourne Cricket Ground,104
Sri Lanka,CK Kapugedera,1.0,2,5,Australia,GMHBA Stadium,28
Sri Lanka,CK Kapugedera,0.0,2,4,Australia,Adelaide Oval,58
Sri Lanka,CK Kapugedera,0.0,2,6,Bangladesh,Shere Bangla National Stadium,104
Sri Lanka,CK Kapugedera,1.0,1,5,England,The Rose Bowl,73
Sri Lanka,CK Kapugedera,0.0,1,4,England,Daren Sammy National Cricket Stadium,55
Sri Lanka,CK Kapugedera,0.0,2,4,England,Arun Jaitley Stadium,19
Sri Lanka,CK Kapugedera,1.0,1,3,India,Vidarbha Cricket Association Stadium,82
Sri Lanka,CK Kapugedera,0.0,1,4,India,Punjab Cricket Association IS Bindra Stadium,78
Sri Lanka,CK Kapugedera,1.0,2,4,India,Daren Sammy National Cricket Stadium,89
Sri Lanka,CK Kapugedera,1.0,2,2,India,Maharashtra Cricket Association Stadium,28
Sri Lanka,CK Kapugedera,0.0,2,3,India,JSCA International Stadium Complex,21
Sri Lanka,CK Kapugedera,0.0,1,2,India,Shere Bangla National Stadium,23
Sri Lanka,CK Kapugedera,0.0,1,0,New Zealand,Eden Park,1
Sri Lanka,CK Kapugedera,0.0,1,3,New Zealand,Providence Stadium,95
Sri Lanka,CK Kapugedera,0.0,2,3,New Zealand,Central Broward Regional Park Stadium,58
Sri Lanka,CK Kapugedera,0.0,2,6,New Zealand,Bay Oval,89
Sri Lanka,CK Kapugedera,0.0,1,2,Pakistan,Maple Leaf Cricket Club,46
Sri Lanka,CK Kapugedera,1.0,2,3,Pakistan,Maple Leaf Cricket Club,71
Sri Lanka,CK Kapugedera,0.0,1,2,Pakistan,Shere Bangla National Stadium,97
Sri Lanka,CK Kapugedera,0.0,1,4,South Africa,Arun Jaitley Stadium,64
Sri Lanka,CK Kapugedera,0.0,2,5,Australia,Pallekele International Cricket Stadium,64
Sri Lanka,CK Kapugedera,0.0,1,4,Australia,R. Premadasa Stadium,54
Sri Lanka,CK Kapugedera,0.0,2,2,Bangladesh,R. Premadasa Stadium,15
Sri Lanka,CK Kapugedera,0.0,1,2,India,R. Premadasa Stadium,69
Sri Lanka,CK Kapugedera,0.0,2,4,New Zealand,R. Premadasa Stadium,49
Sri Lanka,CK Kapugedera,0.0,2,3,Pakistan,R. Premadasa Stadium,53
Sri Lanka,CK Kapugedera,0.0,2,2,Pakistan,Mahinda Rajapaksa International Cricket Stadium,25
Sri Lanka,CK Kapugedera,0.0,2,5,Pakistan,R. Premadasa Stadium,82
Sri Lanka,CK Kapugedera,0.0,1,5,Pakistan,R. Premadasa Stadium,76
Sri Lanka,CK Kapugedera,0.0,2,5,West Indies,R. Premadasa Stadium,94
Sri Lanka,CK Kapugedera,0.0,1,2,West Indies,M. Chinnaswamy Stadium,31
Sri Lanka,CK Kapugedera,1.0,1,5,Zimbabwe,Providence Stadium,99
Sri Lanka,CK Kapugedera,1.0,1,2,West Indies,Kensington Oval,113
Sri Lanka,S Prasanna,1.0,2,5,Australia,Melbourne Cricket Ground,106
Sri Lanka,S Prasanna,1.0,2,6,Australia,GMHBA Stadium,76
Sri Lanka,S Prasanna,0.0,2,6,Australia,Adelaide Oval,73
Sri Lanka,S Prasanna,1.0,1,3,Bangladesh,Zahur Ahmed Chowdhury Stadium,50
Sri Lanka,S Prasanna,0.0,1,6,England,The Rose Bowl,87
Sri Lanka,S Prasanna,1.0,2,5,India,Maharashtra Cricket Association Stadium,101
Sri Lanka,S Prasanna,0.0,2,1,India,JSCA International Stadium Complex,2
Sri Lanka,S Prasanna,0.0,1,5,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,32
Sri Lanka,S Prasanna,1.0,1,1,Pakistan,Dubai International Cricket Stadium,73
Sri Lanka,S Prasanna,0.0,2,6,Pakistan,Gaddafi Stadium,95
Sri Lanka,S Prasanna,0.0,2,3,South Africa,SuperSport Park,39
Sri Lanka,S Prasanna,1.0,2,5,South Africa,New Wanderers Stadium,96
Sri Lanka,S Prasanna,1.0,2,3,South Africa,Newlands Cricket Ground,93
Sri Lanka,S Prasanna,0.0,1,7,Australia,R. Premadasa Stadium,86
Sri Lanka,S Prasanna,1.0,2,3,Bangladesh,R. Premadasa Stadium,94
Sri Lanka,S Prasanna,0.0,2,6,Bangladesh,R. Premadasa Stadium,78
Sri Lanka,S Prasanna,0.0,1,6,India,R. Premadasa Stadium,85
Sri Lanka,S Prasanna,0.0,1,6,Pakistan,Sheikh Zayed Stadium,71
Sri Lanka,S Prasanna,0.0,1,2,Pakistan,Sheikh Zayed Stadium,99
Sri Lanka,S Prasanna,1.0,1,5,West Indies,Shere Bangla National Stadium,103
Australia,BR Dunk,0.0,1,2,South Africa,Adelaide Oval,36
Australia,BR Dunk,1.0,2,0,South Africa,Melbourne Cricket Ground,1
Australia,BR Dunk,1.0,2,0,South Africa,Stadium Australia,1
Australia,BR Dunk,0.0,1,1,Sri Lanka,GMHBA Stadium,17
Australia,BR Dunk,1.0,1,1,Sri Lanka,Adelaide Oval,52
Australia,TD Paine,1.0,1,1,England,Melbourne Cricket Ground,25
Australia,TD Paine,0.0,1,5,India,JSCA International Stadium Complex,82
Australia,TD Paine,0.0,2,6,Pakistan,Edgbaston,102
Australia,TD Paine,0.0,2,1,Pakistan,Edgbaston,12
Australia,TD Paine,0.0,1,5,Sri Lanka,Melbourne Cricket Ground,114
Australia,TD Paine,0.0,1,6,Sri Lanka,GMHBA Stadium,103
Australia,TD Paine,1.0,1,6,Sri Lanka,Adelaide Oval,117
Australia,PJ Cummins,1.0,1,6,Afghanistan,Adelaide Oval,108
Australia,PJ Cummins,0.0,1,6,England,The Rose Bowl,111
Australia,PJ Cummins,0.0,1,6,England,Dubai International Cricket Stadium,107
