,batter,bowler,non_striker,runs_by_bat,extra_runs,total,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner
76,MS Kasprowicz,PD Collingwood,GD McGrath,1,0,1,2,13,,-,0,,,bat,England
77,GD McGrath,PD Collingwood,MS Kasprowicz,0,0,0,3,13,,-,0,,,bat,England
78,GD McGrath,PD Collingwood,MS Kasprowicz,3,0,3,4,13,,-,0,,,bat,England
79,MS Kasprowicz,PD Collingwood,GD McGrath,1,0,1,5,13,,-,0,,,bat,England
80,GD McGrath,PD Collingwood,MS Kasprowicz,1,0,1,6,13,,-,0,,,bat,England
81,GD McGrath,A Flintoff,MS Kasprowicz,0,0,0,1,14,,-,0,,,bat,England
82,GD McGrath,A Flintoff,MS Kasprowicz,0,0,0,2,14,,-,0,,,bat,England
83,GD McGrath,A Flintoff,MS Kasprowicz,0,0,0,3,14,,-,0,,,bat,England
84,GD McGrath,A Flintoff,MS Kasprowicz,0,0,0,4,14,,-,0,,,bat,England
85,GD McGrath,A Flintoff,MS Kasprowicz,0,0,0,5,14,,-,0,,,bat,England
86,GD McGrath,A Flintoff,MS Kasprowicz,1,0,1,6,14,,-,0,,,bat,England
87,GD McGrath,SJ Harmison,MS Kasprowicz,0,0,0,1,15,,-,0,,,bat,England
88,GD McGrath,SJ Harmison,MS Kasprowicz,0,0,0,2,15,,-,0,,,bat,England
89,GD McGrath,SJ Harmison,MS Kasprowicz,0,0,0,3,15,,-,bowled,GD McGrath,,bat,England
