,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
20,RG Sharma,O Thomas,S Dhawan,,1,0,1,17,78,11,16,0,5,-,2,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
21,S Dhawan,O Thomas,RG Sharma,,4,0,4,21,74,6,6,0,6,-,2,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
22,RG Sharma,SS Cottrell,S Dhawan,,4,0,4,25,70,15,17,0,1,-,3,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
23,RG Sharma,SS Cottrell,S Dhawan,,2,0,2,27,68,17,18,0,2,-,3,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
24,RG Sharma,SS Cottrell,S Dhawan,,4,0,4,31,64,21,19,0,3,-,3,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
25,RG Sharma,SS Cottrell,S Dhawan,,0,0,0,31,64,21,20,0,4,-,3,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
26,RG Sharma,SS Cottrell,S Dhawan,,1,0,1,32,63,22,21,0,5,-,3,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
27,S Dhawan,SS Cottrell,RG Sharma,,2,0,2,34,61,8,7,0,6,-,3,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
28,RG Sharma,SP Narine,S Dhawan,,0,0,0,34,61,22,22,0,1,-,4,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
29,RG Sharma,SP Narine,S Dhawan,,0,0,0,34,61,22,23,0,2,-,4,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
30,RG Sharma,SP Narine,S Dhawan,,0,0,0,34,61,22,24,0,3,-,4,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
31,RG Sharma,SP Narine,S Dhawan,,1,0,1,35,60,23,25,0,4,-,4,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
32,S Dhawan,SP Narine,RG Sharma,,0,0,0,35,60,8,8,0,5,-,4,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
33,S Dhawan,SP Narine,RG Sharma,,4,0,4,39,56,12,9,0,6,-,4,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
34,RG Sharma,KMA Paul,S Dhawan,,0,0,0,39,56,23,26,0,1,-,5,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
35,RG Sharma,KMA Paul,S Dhawan,,0,0,0,39,56,23,27,0,2,-,5,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
36,RG Sharma,KMA Paul,S Dhawan,,6,0,6,45,50,29,28,0,3,-,5,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
37,RG Sharma,KMA Paul,S Dhawan,,2,0,2,47,48,31,29,0,4,-,5,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
38,RG Sharma,KMA Paul,S Dhawan,,4,0,4,51,44,35,30,0,5,-,5,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
39,RG Sharma,KMA Paul,S Dhawan,,1,0,1,52,43,36,31,0,6,-,5,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
40,RG Sharma,CR Brathwaite,S Dhawan,,1,0,1,53,42,37,32,0,1,-,6,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
41,S Dhawan,CR Brathwaite,RG Sharma,,1,0,1,54,41,13,10,0,2,-,6,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
42,RG Sharma,CR Brathwaite,S Dhawan,,1,0,1,55,40,38,33,0,3,-,6,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
43,S Dhawan,CR Brathwaite,RG Sharma,,0,1,1,56,39,13,11,0,4,wides,6,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
44,S Dhawan,CR Brathwaite,RG Sharma,,4,0,4,60,35,17,12,0,5,-,6,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
45,S Dhawan,CR Brathwaite,RG Sharma,,1,0,1,61,34,18,13,0,6,-,6,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
46,RG Sharma,CR Brathwaite,S Dhawan,,0,0,0,61,34,38,34,0,7,-,6,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
47,S Dhawan,KMA Paul,RG Sharma,,2,0,2,63,32,20,14,0,1,-,7,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
48,S Dhawan,KMA Paul,RG Sharma,,1,0,1,64,31,21,15,0,2,-,7,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
49,RG Sharma,KMA Paul,S Dhawan,,1,0,1,65,30,39,35,0,3,-,7,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
50,S Dhawan,KMA Paul,RG Sharma,,2,0,2,67,28,23,16,0,4,-,7,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
51,S Dhawan,KMA Paul,RG Sharma,,0,0,0,67,28,23,17,1,5,-,7,bowled,S Dhawan,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
52,V Kohli,KMA Paul,RG Sharma,,1,0,1,68,27,1,1,1,6,-,7,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
53,V Kohli,SP Narine,RG Sharma,,1,0,1,69,26,2,2,1,1,-,8,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
54,RG Sharma,SP Narine,V Kohli,,1,0,1,70,25,40,36,1,2,-,8,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
55,V Kohli,SP Narine,RG Sharma,,0,0,0,70,25,2,3,1,3,-,8,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
56,V Kohli,SP Narine,RG Sharma,,1,0,1,71,24,3,4,1,4,-,8,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
57,RG Sharma,SP Narine,V Kohli,,0,0,0,71,24,40,37,1,5,-,8,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
58,RG Sharma,SP Narine,V Kohli,,1,0,1,72,23,41,38,1,6,-,8,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
59,RG Sharma,K Pierre,V Kohli,,0,0,0,72,23,41,39,1,1,-,9,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
60,RG Sharma,K Pierre,V Kohli,,0,1,1,73,22,41,40,1,2,wides,9,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
61,RG Sharma,K Pierre,V Kohli,,1,0,1,74,21,42,41,1,3,-,9,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
62,V Kohli,K Pierre,RG Sharma,,1,0,1,75,20,4,5,1,4,-,9,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
63,RG Sharma,K Pierre,V Kohli,,1,0,1,76,19,43,42,1,5,-,9,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
64,V Kohli,K Pierre,RG Sharma,,0,0,0,76,19,4,6,1,6,-,9,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
65,V Kohli,K Pierre,RG Sharma,,1,0,1,77,18,5,7,1,7,-,9,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
66,V Kohli,SP Narine,RG Sharma,,1,0,1,78,17,6,8,1,1,-,10,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
67,RG Sharma,SP Narine,V Kohli,,6,0,6,84,11,49,43,1,2,-,10,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
68,RG Sharma,SP Narine,V Kohli,,0,0,0,84,11,49,44,1,3,-,10,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
69,RG Sharma,SP Narine,V Kohli,,1,0,1,85,10,50,45,1,4,-,10,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
70,V Kohli,SP Narine,RG Sharma,,1,0,1,86,9,7,9,1,5,-,10,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
71,RG Sharma,SP Narine,V Kohli,,1,0,1,87,8,51,46,1,6,-,10,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
72,RG Sharma,K Pierre,V Kohli,,1,0,1,88,7,52,47,1,1,-,11,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
73,V Kohli,K Pierre,RG Sharma,,6,0,6,94,1,13,10,1,2,-,11,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
74,V Kohli,K Pierre,RG Sharma,,1,0,1,95,0,14,11,1,3,-,11,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
75,RG Sharma,K Pierre,V Kohli,,2,0,2,97,-2,54,48,1,4,-,11,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
76,RG Sharma,K Pierre,V Kohli,,1,0,1,98,-3,55,49,1,5,-,11,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
77,V Kohli,K Pierre,RG Sharma,,0,0,0,98,-3,14,12,1,6,-,11,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
78,RG Sharma,CR Brathwaite,V Kohli,,6,0,6,104,-9,61,50,1,1,-,12,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
79,RG Sharma,CR Brathwaite,V Kohli,,0,0,0,104,-9,61,51,1,2,-,12,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
80,RG Sharma,CR Brathwaite,V Kohli,,4,0,4,108,-13,65,52,1,3,-,12,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
81,RG Sharma,CR Brathwaite,V Kohli,,1,0,1,109,-14,66,53,1,4,-,12,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
82,V Kohli,CR Brathwaite,RG Sharma,,2,0,2,111,-16,16,13,1,5,-,12,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
83,V Kohli,CR Brathwaite,RG Sharma,,0,0,0,111,-16,16,14,1,6,-,12,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
84,RG Sharma,O Thomas,V Kohli,,1,0,1,112,-17,67,54,1,1,-,13,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
85,V Kohli,O Thomas,RG Sharma,,1,0,1,113,-18,17,15,1,2,-,13,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
86,RG Sharma,O Thomas,V Kohli,,0,1,1,114,-19,67,55,1,3,legbyes,13,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
87,V Kohli,O Thomas,RG Sharma,,1,0,1,115,-20,18,16,1,4,-,13,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
88,RG Sharma,O Thomas,V Kohli,,0,0,0,115,-20,67,56,2,5,-,13,caught,RG Sharma,SO Hetmyer,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
89,RR Pant,O Thomas,V Kohli,,0,1,1,116,-21,0,1,2,6,wides,13,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
90,RR Pant,O Thomas,V Kohli,,1,0,1,117,-22,1,2,2,7,-,13,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
91,RR Pant,SP Narine,V Kohli,,1,0,1,118,-23,2,3,2,1,-,14,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
92,V Kohli,SP Narine,RR Pant,,4,0,4,122,-27,22,17,2,2,-,14,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
93,V Kohli,SP Narine,RR Pant,,1,0,1,123,-28,23,18,2,3,-,14,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
94,RR Pant,SP Narine,V Kohli,,1,0,1,124,-29,3,4,2,4,-,14,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
95,V Kohli,SP Narine,RR Pant,,1,0,1,125,-30,24,19,2,5,-,14,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
96,RR Pant,SP Narine,V Kohli,,1,0,1,126,-31,4,5,2,6,-,14,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
97,RR Pant,O Thomas,V Kohli,,0,0,0,126,-31,4,6,3,1,-,15,caught,RR Pant,KA Pollard,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
98,MK Pandey,O Thomas,V Kohli,,0,0,0,126,-31,0,1,3,2,-,15,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
99,MK Pandey,O Thomas,V Kohli,,1,0,1,127,-32,1,2,3,3,-,15,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
100,V Kohli,O Thomas,MK Pandey,,1,0,1,128,-33,25,20,3,4,-,15,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
101,MK Pandey,O Thomas,V Kohli,,1,0,1,129,-34,2,3,3,5,-,15,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
102,V Kohli,O Thomas,MK Pandey,,1,0,1,130,-35,26,21,3,6,-,15,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
103,V Kohli,SS Cottrell,MK Pandey,,2,0,2,132,-37,28,22,3,1,-,16,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
104,V Kohli,SS Cottrell,MK Pandey,,0,0,0,132,-37,28,23,4,2,-,16,bowled,V Kohli,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
105,KH Pandya,SS Cottrell,MK Pandey,,0,0,0,132,-37,0,1,4,3,-,16,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
106,KH Pandya,SS Cottrell,MK Pandey,,1,0,1,133,-38,1,2,4,4,-,16,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
107,MK Pandey,SS Cottrell,KH Pandya,,1,0,1,134,-39,3,4,4,5,-,16,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
108,KH Pandya,SS Cottrell,MK Pandey,,1,0,1,135,-40,2,3,4,6,-,16,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
109,KH Pandya,KMA Paul,MK Pandey,,0,0,0,135,-40,2,4,4,1,-,17,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
110,KH Pandya,KMA Paul,MK Pandey,,2,0,2,137,-42,4,5,4,2,-,17,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
111,KH Pandya,KMA Paul,MK Pandey,,1,0,1,138,-43,5,6,4,3,-,17,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
112,MK Pandey,KMA Paul,KH Pandya,,1,0,1,139,-44,4,5,4,4,-,17,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
113,KH Pandya,KMA Paul,MK Pandey,,1,0,1,140,-45,6,7,4,5,-,17,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
114,MK Pandey,KMA Paul,KH Pandya,,1,0,1,141,-46,5,6,4,6,-,17,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
115,MK Pandey,SS Cottrell,KH Pandya,,1,0,1,142,-47,6,7,4,1,-,18,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
116,KH Pandya,SS Cottrell,MK Pandey,,0,1,1,143,-48,6,8,4,2,legbyes,18,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
117,MK Pandey,SS Cottrell,KH Pandya,,0,0,0,143,-48,6,8,5,3,-,18,caught,MK Pandey,N Pooran,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
118,RA Jadeja,SS Cottrell,KH Pandya,,2,0,2,145,-50,2,1,5,4,-,18,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
119,RA Jadeja,SS Cottrell,KH Pandya,,0,1,1,146,-51,2,2,5,5,legbyes,18,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
120,KH Pandya,SS Cottrell,RA Jadeja,,1,0,1,147,-52,7,9,5,6,-,18,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
121,KH Pandya,KMA Paul,RA Jadeja,,6,0,6,153,-58,13,10,5,1,-,19,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
122,KH Pandya,KMA Paul,RA Jadeja,,6,0,6,159,-64,19,11,5,2,-,19,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
123,KH Pandya,KMA Paul,RA Jadeja,,0,0,0,159,-64,19,12,5,3,-,19,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
124,KH Pandya,KMA Paul,RA Jadeja,,1,0,1,160,-65,20,13,5,4,-,19,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
