,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
10,KR Mayers,RJW Topley,N Pooran,0,0,0,32,235,12,5,2,-,5.0,caught,KR Mayers,CR Woakes,1,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Left arm Fast
11,SD Hope,RJW Topley,N Pooran,0,0,0,32,235,0,1,2,-,6.0,0,,,1,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Fast
12,N Pooran,CR Woakes,SD Hope,0,0,0,32,235,20,6,2,-,1.0,0,,,2,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Fast
13,N Pooran,CR Woakes,SD Hope,0,0,0,32,235,20,7,2,-,2.0,0,,,2,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Fast
14,N Pooran,CR Woakes,SD Hope,0,0,0,32,235,20,8,2,-,3.0,0,,,2,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Fast
15,N Pooran,CR Woakes,SD Hope,4,0,4,36,231,24,9,2,-,4.0,0,,,2,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Fast
16,N Pooran,CR Woakes,SD Hope,6,0,6,42,225,30,10,2,-,5.0,0,,,2,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Fast
17,N Pooran,CR Woakes,SD Hope,6,0,6,48,219,36,11,2,-,6.0,0,,,2,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Fast
18,SD Hope,RJW Topley,N Pooran,0,0,0,48,219,0,2,2,-,1.0,0,,,3,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Fast
19,SD Hope,RJW Topley,N Pooran,6,0,6,54,213,6,3,2,-,2.0,0,,,3,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Fast
20,SD Hope,RJW Topley,N Pooran,1,0,1,55,212,7,4,2,-,3.0,0,,,3,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Fast
21,N Pooran,RJW Topley,SD Hope,2,0,2,57,210,38,12,2,-,4.0,0,,,3,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Fast
22,N Pooran,RJW Topley,SD Hope,0,0,0,57,210,38,13,2,-,5.0,0,,,3,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Fast
23,N Pooran,RJW Topley,SD Hope,1,0,1,58,209,39,14,2,-,6.0,0,,,3,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Fast
24,N Pooran,SM Curran,SD Hope,0,0,0,58,209,39,15,3,-,1.0,caught,N Pooran,HC Brook,4,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Medium
25,SE Rutherford,SM Curran,SD Hope,4,0,4,62,205,4,1,3,-,2.0,0,,,4,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Medium
26,SE Rutherford,SM Curran,SD Hope,1,0,1,63,204,5,2,3,-,3.0,0,,,4,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Medium
27,SD Hope,SM Curran,SE Rutherford,4,0,4,67,200,11,5,3,-,4.0,0,,,4,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Medium
28,SD Hope,SM Curran,SE Rutherford,1,0,1,68,199,12,6,3,-,5.0,0,,,4,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Medium
29,SE Rutherford,SM Curran,SD Hope,6,0,6,74,193,11,3,3,-,6.0,0,,,4,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Medium
30,SD Hope,CR Woakes,SE Rutherford,4,0,4,78,189,16,7,3,-,1.0,0,,,5,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Fast
31,SD Hope,CR Woakes,SE Rutherford,0,0,0,78,189,16,8,4,-,2.0,caught,SD Hope,PD Salt,5,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Fast
32,R Powell,CR Woakes,SE Rutherford,0,4,4,82,185,0,1,4,legbyes,3.0,0,,,5,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Fast
33,R Powell,CR Woakes,SE Rutherford,1,0,1,83,184,1,2,4,-,4.0,0,,,5,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Fast
34,SE Rutherford,CR Woakes,R Powell,4,0,4,87,180,15,4,4,-,5.0,0,,,5,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Fast
35,SE Rutherford,CR Woakes,R Powell,0,0,0,87,180,15,5,4,-,6.0,0,,,5,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Fast
36,R Powell,Rehan Ahmed,SE Rutherford,1,0,1,88,179,2,3,4,-,1.0,0,,,6,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
37,SE Rutherford,Rehan Ahmed,R Powell,4,0,4,92,175,19,6,4,-,2.0,0,,,6,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
38,SE Rutherford,Rehan Ahmed,R Powell,4,0,4,96,171,23,7,4,-,3.0,0,,,6,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
39,SE Rutherford,Rehan Ahmed,R Powell,4,0,4,100,167,27,8,4,-,4.0,0,,,6,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
40,SE Rutherford,Rehan Ahmed,R Powell,1,0,1,101,166,28,9,4,-,5.0,0,,,6,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
41,R Powell,Rehan Ahmed,SE Rutherford,1,0,1,102,165,3,4,4,-,6.0,0,,,6,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
42,R Powell,AU Rashid,SE Rutherford,1,0,1,103,164,4,5,4,-,1.0,0,,,7,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
43,SE Rutherford,AU Rashid,R Powell,0,0,0,103,164,28,10,4,-,2.0,0,,,7,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
44,SE Rutherford,AU Rashid,R Powell,0,2,2,105,162,28,11,4,byes,3.0,0,,,7,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
45,SE Rutherford,AU Rashid,R Powell,1,0,1,106,161,29,12,4,-,4.0,0,,,7,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
46,R Powell,AU Rashid,SE Rutherford,0,0,0,106,161,4,6,5,-,5.0,bowled,R Powell,,7,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
47,AD Russell,AU Rashid,SE Rutherford,0,0,0,106,161,0,1,5,-,6.0,0,,,7,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
48,SE Rutherford,Rehan Ahmed,AD Russell,1,0,1,107,160,30,13,5,-,1.0,0,,,8,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
49,AD Russell,Rehan Ahmed,SE Rutherford,6,0,6,113,154,6,2,5,-,2.0,0,,,8,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
50,AD Russell,Rehan Ahmed,SE Rutherford,1,0,1,114,153,7,3,5,-,3.0,0,,,8,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
51,SE Rutherford,Rehan Ahmed,AD Russell,6,0,6,120,147,36,14,5,-,4.0,0,,,8,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
52,SE Rutherford,Rehan Ahmed,AD Russell,0,0,0,120,147,36,15,6,-,5.0,lbw,SE Rutherford,,8,"{'by': 'West Indies', 'umpire': 'PA Gustard', 'batter': 'SE Rutherford', 'decision': 'struck down', 'type': 'wicket'}",field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
53,JO Holder,Rehan Ahmed,AD Russell,0,0,0,120,147,0,1,7,-,6.0,caught,JO Holder,WG Jacks,8,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Right arm Legbreak
54,AD Russell,AU Rashid,AJ Hosein,1,0,1,121,146,8,4,7,-,1.0,0,,,9,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
55,AJ Hosein,AU Rashid,AD Russell,0,0,0,121,146,0,1,7,-,2.0,0,,,9,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
56,AJ Hosein,AU Rashid,AD Russell,1,0,1,122,145,1,2,7,-,3.0,0,,,9,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
57,AD Russell,AU Rashid,AJ Hosein,1,0,1,123,144,9,5,7,-,4.0,0,,,9,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
58,AJ Hosein,AU Rashid,AD Russell,0,0,0,123,144,1,3,7,-,5.0,0,,,9,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
59,AJ Hosein,AU Rashid,AD Russell,6,0,6,129,138,7,4,7,-,6.0,0,,,9,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
60,AD Russell,Rehan Ahmed,AJ Hosein,6,0,6,135,132,15,6,7,-,1.0,0,,,10,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
61,AD Russell,Rehan Ahmed,AJ Hosein,4,0,4,139,128,19,7,7,-,2.0,0,,,10,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
62,AD Russell,Rehan Ahmed,AJ Hosein,1,0,1,140,127,20,8,7,-,3.0,0,,,10,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
63,AJ Hosein,Rehan Ahmed,AD Russell,1,0,1,141,126,8,5,7,-,4.0,0,,,10,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
64,AD Russell,Rehan Ahmed,AJ Hosein,1,0,1,142,125,21,9,7,-,5.0,0,,,10,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
65,AJ Hosein,Rehan Ahmed,AD Russell,0,0,0,142,125,8,6,7,-,6.0,0,,,10,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
66,AD Russell,AU Rashid,AJ Hosein,0,0,0,142,125,21,10,7,-,1.0,0,,,11,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
67,AD Russell,AU Rashid,AJ Hosein,0,3,3,145,122,21,10,7,wides,1.0,0,,,11,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
68,AD Russell,AU Rashid,AJ Hosein,0,5,5,150,117,21,10,7,wides,1.0,0,,,11,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
69,AD Russell,AU Rashid,AJ Hosein,1,0,1,151,116,22,11,7,-,2.0,0,,,11,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
70,AJ Hosein,AU Rashid,AD Russell,0,0,0,151,116,8,7,7,-,3.0,0,,,11,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
71,AJ Hosein,AU Rashid,AD Russell,1,0,1,152,115,9,8,7,-,4.0,0,,,11,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
72,AD Russell,AU Rashid,AJ Hosein,0,1,1,153,114,22,12,7,legbyes,5.0,0,,,11,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
73,AJ Hosein,AU Rashid,AD Russell,2,0,2,155,112,11,9,7,-,6.0,0,,,11,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Right arm Legbreak
74,AD Russell,SM Curran,AJ Hosein,1,0,1,156,111,23,13,7,-,1.0,0,,,12,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Medium
75,AJ Hosein,SM Curran,AD Russell,4,0,4,160,107,15,10,7,-,2.0,0,,,12,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Medium
76,AJ Hosein,SM Curran,AD Russell,0,0,0,160,107,15,11,8,-,3.0,caught,AJ Hosein,MM Ali,12,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Medium
77,MW Forde,SM Curran,AD Russell,2,0,2,162,105,2,1,8,-,4.0,0,,,12,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Left arm Medium
78,MW Forde,SM Curran,AD Russell,1,0,1,163,104,3,2,8,-,5.0,0,,,12,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Left arm Medium
79,AD Russell,SM Curran,MW Forde,1,0,1,164,103,24,14,8,-,6.0,0,,,12,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Left arm Medium
80,AD Russell,RJW Topley,MW Forde,4,0,4,168,99,28,15,8,-,1.0,0,,,13,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Left arm Fast
81,AD Russell,RJW Topley,MW Forde,1,0,1,169,98,29,16,8,-,2.0,0,,,13,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Left arm Fast
82,MW Forde,RJW Topley,AD Russell,0,0,0,169,98,3,3,8,-,3.0,0,,,13,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Left arm Fast
83,MW Forde,RJW Topley,AD Russell,0,0,0,169,98,3,4,8,-,4.0,0,,,13,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Left arm Fast
84,MW Forde,RJW Topley,AD Russell,0,0,0,169,98,3,5,9,-,5.0,caught,MW Forde,JC Buttler,13,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Right hand Bat,Left arm Fast
85,G Motie,RJW Topley,AD Russell,0,0,0,169,98,0,1,9,-,6.0,0,,,13,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Right hand Bat,Left arm Fast
86,AD Russell,AU Rashid,G Motie,6,0,6,175,92,35,17,9,-,1.0,0,,,14,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
87,AD Russell,AU Rashid,G Motie,0,0,0,175,92,35,18,9,-,2.0,0,,,14,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
88,AD Russell,AU Rashid,G Motie,0,0,0,175,92,35,19,9,-,3.0,0,,,14,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
89,AD Russell,AU Rashid,G Motie,6,0,6,181,86,41,20,9,-,4.0,0,,,14,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
90,AD Russell,AU Rashid,G Motie,0,0,0,181,86,41,21,9,-,5.0,0,,,14,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
91,AD Russell,AU Rashid,G Motie,0,1,1,182,85,41,22,9,legbyes,6.0,0,,,14,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Legbreak
92,AD Russell,RJW Topley,G Motie,6,0,6,188,79,47,23,9,-,1.0,0,,,15,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Fast
93,AD Russell,RJW Topley,G Motie,4,0,4,192,75,51,24,9,-,2.0,0,,,15,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Fast
94,AD Russell,RJW Topley,G Motie,0,0,0,192,75,51,25,10,-,3.0,caught,AD Russell,HC Brook,15,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Left arm Fast
