,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
21,JM Bairstow,AR Nurse,EJG Morgan,0,0,0,33,127,15,10,2,1,-,0,,,4,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
22,JM Bairstow,AR Nurse,EJG Morgan,0,0,0,33,127,15,11,2,2,-,0,,,4,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
23,JM Bairstow,AR Nurse,EJG Morgan,4,0,4,37,123,19,12,2,3,-,0,,,4,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
24,JM Bairstow,AR Nurse,EJG Morgan,0,0,0,37,123,19,13,2,4,-,0,,,4,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
25,JM Bairstow,AR Nurse,EJG Morgan,4,0,4,41,119,23,14,2,5,-,0,,,4,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
26,JM Bairstow,AR Nurse,EJG Morgan,6,0,6,47,113,29,15,2,6,-,0,,,4,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
27,EJG Morgan,O Thomas,JM Bairstow,4,0,4,51,109,4,5,2,1,-,0,,,5,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
28,EJG Morgan,O Thomas,JM Bairstow,0,0,0,51,109,4,6,2,2,-,0,,,5,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
29,EJG Morgan,O Thomas,JM Bairstow,0,0,0,51,109,4,7,2,3,-,0,,,5,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
30,EJG Morgan,O Thomas,JM Bairstow,0,4,4,55,105,4,8,2,4,byes,0,,,5,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
31,EJG Morgan,O Thomas,JM Bairstow,0,0,0,55,105,4,9,2,5,-,0,,,5,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
32,EJG Morgan,O Thomas,JM Bairstow,0,0,0,55,105,4,10,2,6,-,0,,,5,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
33,JM Bairstow,JO Holder,EJG Morgan,1,0,1,56,104,30,16,2,1,-,0,,,6,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
34,EJG Morgan,JO Holder,JM Bairstow,0,0,0,56,104,4,11,2,2,-,0,,,6,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
35,EJG Morgan,JO Holder,JM Bairstow,1,0,1,57,103,5,12,2,3,-,0,,,6,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
36,JM Bairstow,JO Holder,EJG Morgan,2,0,2,59,101,32,17,2,4,-,0,,,6,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
37,JM Bairstow,JO Holder,EJG Morgan,0,1,1,60,100,32,18,2,5,wides,0,,,6,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
38,JM Bairstow,JO Holder,EJG Morgan,0,0,0,60,100,32,19,2,6,-,0,,,6,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
39,JM Bairstow,JO Holder,EJG Morgan,0,1,1,61,99,32,20,2,7,wides,0,,,6,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
40,JM Bairstow,JO Holder,EJG Morgan,1,0,1,62,98,33,21,2,8,-,0,,,6,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
41,JM Bairstow,CR Brathwaite,EJG Morgan,1,0,1,63,97,34,22,2,1,-,0,,,7,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
42,EJG Morgan,CR Brathwaite,JM Bairstow,0,0,0,63,97,5,13,2,2,-,0,,,7,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
43,EJG Morgan,CR Brathwaite,JM Bairstow,1,0,1,64,96,6,14,2,3,-,0,,,7,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
44,JM Bairstow,CR Brathwaite,EJG Morgan,0,0,0,64,96,34,23,2,4,-,0,,,7,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
45,JM Bairstow,CR Brathwaite,EJG Morgan,0,0,0,64,96,34,24,2,5,-,0,,,7,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
46,JM Bairstow,CR Brathwaite,EJG Morgan,4,0,4,68,92,38,25,2,6,-,0,,,7,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
47,EJG Morgan,JO Holder,JM Bairstow,1,0,1,69,91,7,15,2,1,-,0,,,8,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
48,JM Bairstow,JO Holder,EJG Morgan,4,0,4,73,87,42,26,2,2,-,0,,,8,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
49,JM Bairstow,JO Holder,EJG Morgan,1,0,1,74,86,43,27,2,3,-,0,,,8,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
50,EJG Morgan,JO Holder,JM Bairstow,1,0,1,75,85,8,16,2,4,-,0,,,8,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
51,JM Bairstow,JO Holder,EJG Morgan,0,0,0,75,85,43,28,2,5,-,0,,,8,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
52,JM Bairstow,JO Holder,EJG Morgan,1,0,1,76,84,44,29,2,6,-,0,,,8,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
53,JM Bairstow,CR Brathwaite,EJG Morgan,6,0,6,82,78,50,30,2,1,-,0,,,9,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
54,JM Bairstow,CR Brathwaite,EJG Morgan,1,0,1,83,77,51,31,2,2,-,0,,,9,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
55,EJG Morgan,CR Brathwaite,JM Bairstow,0,0,0,83,77,8,17,3,3,-,caught,EJG Morgan,CH Gayle,9,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
56,JL Denly,CR Brathwaite,JM Bairstow,1,0,1,84,76,1,1,3,4,-,0,,,9,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
57,JM Bairstow,CR Brathwaite,JL Denly,1,0,1,85,75,52,32,3,5,-,0,,,9,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
58,JL Denly,CR Brathwaite,JM Bairstow,0,0,0,85,75,1,2,3,6,-,0,,,9,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
59,JM Bairstow,AR Nurse,JL Denly,0,0,0,85,75,52,33,3,1,-,0,,,10,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
60,JM Bairstow,AR Nurse,JL Denly,2,0,2,87,73,54,34,3,2,-,0,,,10,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
61,JM Bairstow,AR Nurse,JL Denly,1,0,1,88,72,55,35,3,3,-,0,,,10,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
62,JL Denly,AR Nurse,JM Bairstow,1,0,1,89,71,2,3,3,4,-,0,,,10,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
63,JM Bairstow,AR Nurse,JL Denly,1,0,1,90,70,56,36,3,5,-,0,,,10,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
64,JL Denly,AR Nurse,JM Bairstow,0,0,0,90,70,2,4,3,6,-,0,,,10,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
65,JM Bairstow,CR Brathwaite,JL Denly,4,0,4,94,66,60,37,3,1,-,0,,,11,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
66,JM Bairstow,CR Brathwaite,JL Denly,0,0,0,94,66,60,38,3,2,-,0,,,11,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
67,JM Bairstow,CR Brathwaite,JL Denly,4,0,4,98,62,64,39,3,3,-,0,,,11,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
68,JM Bairstow,CR Brathwaite,JL Denly,2,0,2,100,60,66,40,3,4,-,0,,,11,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
69,JM Bairstow,CR Brathwaite,JL Denly,1,0,1,101,59,67,41,3,5,-,0,,,11,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
70,JL Denly,CR Brathwaite,JM Bairstow,0,0,0,101,59,2,5,3,6,-,0,,,11,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
71,JM Bairstow,AR Nurse,JL Denly,1,0,1,102,58,68,42,3,1,-,0,,,12,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
72,JL Denly,AR Nurse,JM Bairstow,1,0,1,103,57,3,6,3,2,-,0,,,12,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
73,JM Bairstow,AR Nurse,JL Denly,0,0,0,103,57,68,43,4,3,-,caught,JM Bairstow,CR Brathwaite,12,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
74,SW Billings,AR Nurse,JL Denly,1,0,1,104,56,1,1,4,4,-,0,,,12,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
75,JL Denly,AR Nurse,SW Billings,0,0,0,104,56,3,7,4,5,-,0,,,12,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
76,JL Denly,AR Nurse,SW Billings,2,0,2,106,54,5,8,4,6,-,0,,,12,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
77,SW Billings,FA Allen,JL Denly,0,0,0,106,54,1,2,4,1,-,0,,,13,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
78,SW Billings,FA Allen,JL Denly,1,0,1,107,53,2,3,4,2,-,0,,,13,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
79,JL Denly,FA Allen,SW Billings,4,0,4,111,49,9,9,4,3,-,0,,,13,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
80,JL Denly,FA Allen,SW Billings,1,0,1,112,48,10,10,4,4,-,0,,,13,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
81,SW Billings,FA Allen,JL Denly,2,0,2,114,46,4,4,4,5,-,0,,,13,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
82,SW Billings,FA Allen,JL Denly,0,0,0,114,46,4,5,4,6,-,0,,,13,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
83,JL Denly,AR Nurse,SW Billings,1,0,1,115,45,11,11,4,1,-,0,,,14,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
84,SW Billings,AR Nurse,JL Denly,1,0,1,116,44,5,6,4,2,-,0,,,14,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
85,JL Denly,AR Nurse,SW Billings,0,0,0,116,44,11,12,4,3,-,0,,,14,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
86,JL Denly,AR Nurse,SW Billings,4,0,4,120,40,15,13,4,4,-,0,,,14,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
87,JL Denly,AR Nurse,SW Billings,1,0,1,121,39,16,14,4,5,-,0,,,14,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
88,SW Billings,AR Nurse,JL Denly,1,0,1,122,38,6,7,4,6,-,0,,,14,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
89,SW Billings,SS Cottrell,JL Denly,0,1,1,123,37,6,8,4,1,wides,0,,,15,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
90,SW Billings,SS Cottrell,JL Denly,1,0,1,124,36,7,9,4,2,-,0,,,15,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
91,JL Denly,SS Cottrell,SW Billings,0,0,0,124,36,16,15,4,3,-,0,,,15,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
92,JL Denly,SS Cottrell,SW Billings,4,0,4,128,32,20,16,4,4,-,0,,,15,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
93,JL Denly,SS Cottrell,SW Billings,0,0,0,128,32,20,17,4,5,-,0,,,15,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
94,JL Denly,SS Cottrell,SW Billings,1,0,1,129,31,21,18,4,6,-,0,,,15,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
95,SW Billings,SS Cottrell,JL Denly,4,0,4,133,27,11,10,4,7,-,0,,,15,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
96,JL Denly,JO Holder,SW Billings,0,0,0,133,27,21,19,4,1,-,0,,,16,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
97,JL Denly,JO Holder,SW Billings,2,0,2,135,25,23,20,4,2,-,0,,,16,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
98,JL Denly,JO Holder,SW Billings,0,0,0,135,25,23,21,4,3,-,0,,,16,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
99,JL Denly,JO Holder,SW Billings,4,0,4,139,21,27,22,4,4,-,0,,,16,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
100,JL Denly,JO Holder,SW Billings,1,0,1,140,20,28,23,4,5,-,0,,,16,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
101,SW Billings,JO Holder,JL Denly,1,0,1,141,19,12,11,4,6,-,0,,,16,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
102,SW Billings,CR Brathwaite,JL Denly,1,0,1,142,18,13,12,4,1,-,0,,,17,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
103,JL Denly,CR Brathwaite,SW Billings,1,0,1,143,17,29,24,4,2,-,0,,,17,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
104,SW Billings,CR Brathwaite,JL Denly,0,1,1,144,16,13,13,4,3,wides,0,,,17,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
105,SW Billings,CR Brathwaite,JL Denly,0,1,1,145,15,13,14,4,4,wides,0,,,17,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
106,SW Billings,CR Brathwaite,JL Denly,2,0,2,147,13,15,15,4,5,-,0,,,17,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
107,SW Billings,CR Brathwaite,JL Denly,1,0,1,148,12,16,16,4,6,-,0,,,17,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
108,JL Denly,CR Brathwaite,SW Billings,0,2,2,150,10,29,25,4,7,legbyes,0,,,17,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
109,JL Denly,CR Brathwaite,SW Billings,0,1,1,151,9,29,26,4,8,legbyes,0,,,17,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
110,JL Denly,JO Holder,SW Billings,1,0,1,152,8,30,27,4,1,-,0,,,18,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
111,SW Billings,JO Holder,JL Denly,1,0,1,153,7,17,17,4,2,-,0,,,18,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
112,JL Denly,JO Holder,SW Billings,0,0,0,153,7,30,28,4,3,-,0,,,18,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
113,JL Denly,JO Holder,SW Billings,0,0,0,153,7,30,29,5,4,-,caught,JL Denly,N Pooran,18,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
114,SW Billings,JO Holder,DJ Willey,1,0,1,154,6,18,18,5,5,-,0,,,18,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
115,DJ Willey,JO Holder,SW Billings,0,0,0,154,6,0,1,5,6,-,0,,,18,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
116,SW Billings,SS Cottrell,DJ Willey,0,0,0,154,6,18,19,6,1,-,bowled,SW Billings,,19,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
117,TK Curran,SS Cottrell,DJ Willey,1,0,1,155,5,1,1,6,2,-,0,,,19,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
118,DJ Willey,SS Cottrell,TK Curran,0,4,4,159,1,0,2,6,3,byes,0,,,19,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
119,DJ Willey,SS Cottrell,TK Curran,1,0,1,160,0,1,3,6,4,-,0,,,19,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
120,TK Curran,SS Cottrell,DJ Willey,1,0,1,161,-1,2,2,6,5,-,0,,,19,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies
