,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
29,E Lewis,B Kumar,LMP Simmons,1,0,1,25,145,17,19,0,5,5,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
30,LMP Simmons,B Kumar,E Lewis,1,0,1,26,144,8,12,0,6,5,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
31,LMP Simmons,Washington Sundar,E Lewis,1,0,1,27,143,9,13,0,1,6,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
32,E Lewis,Washington Sundar,LMP Simmons,6,0,6,33,137,23,20,0,2,6,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
33,E Lewis,Washington Sundar,LMP Simmons,0,0,0,33,137,23,21,0,3,6,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
34,E Lewis,Washington Sundar,LMP Simmons,6,0,6,39,131,29,22,0,4,6,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
35,E Lewis,Washington Sundar,LMP Simmons,0,1,1,40,130,29,23,0,5,6,wides,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
36,E Lewis,Washington Sundar,LMP Simmons,0,0,0,40,130,29,24,0,6,6,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
37,E Lewis,Washington Sundar,LMP Simmons,1,0,1,41,129,30,25,0,7,6,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
38,E Lewis,YS Chahal,LMP Simmons,0,1,1,42,128,30,26,0,1,7,wides,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
39,E Lewis,YS Chahal,LMP Simmons,1,0,1,43,127,31,27,0,2,7,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
40,LMP Simmons,YS Chahal,E Lewis,1,0,1,44,126,10,14,0,3,7,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
41,E Lewis,YS Chahal,LMP Simmons,6,0,6,50,120,37,28,0,4,7,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
42,E Lewis,YS Chahal,LMP Simmons,0,0,0,50,120,37,29,0,5,7,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
43,E Lewis,YS Chahal,LMP Simmons,0,0,0,50,120,37,30,0,6,7,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
44,E Lewis,YS Chahal,LMP Simmons,1,0,1,51,119,38,31,0,7,7,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
45,E Lewis,Washington Sundar,LMP Simmons,1,0,1,52,118,39,32,0,1,8,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
46,LMP Simmons,Washington Sundar,E Lewis,6,0,6,58,112,16,15,0,2,8,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
47,LMP Simmons,Washington Sundar,E Lewis,1,0,1,59,111,17,16,0,3,8,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
48,E Lewis,Washington Sundar,LMP Simmons,0,0,0,59,111,39,33,0,4,8,-,"{'by': 'India', 'umpire': 'AK Chaudhary', 'batter': 'E Lewis', 'decision': 'struck down'}",0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
49,E Lewis,Washington Sundar,LMP Simmons,0,0,0,59,111,39,34,0,5,8,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
50,E Lewis,Washington Sundar,LMP Simmons,0,0,0,59,111,39,35,0,6,8,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
51,LMP Simmons,YS Chahal,E Lewis,2,0,2,61,109,19,17,0,1,9,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
52,LMP Simmons,YS Chahal,E Lewis,0,0,0,61,109,19,18,0,2,9,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
53,LMP Simmons,YS Chahal,E Lewis,4,0,4,65,105,23,19,0,3,9,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
54,LMP Simmons,YS Chahal,E Lewis,6,0,6,71,99,29,20,0,4,9,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
55,LMP Simmons,YS Chahal,E Lewis,0,0,0,71,99,29,21,0,5,9,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
56,LMP Simmons,YS Chahal,E Lewis,0,0,0,71,99,29,22,0,6,9,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
57,E Lewis,Washington Sundar,LMP Simmons,1,0,1,72,98,40,36,0,1,10,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
58,LMP Simmons,Washington Sundar,E Lewis,0,0,0,72,98,29,23,0,2,10,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
59,LMP Simmons,Washington Sundar,E Lewis,1,0,1,73,97,30,24,0,3,10,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
60,E Lewis,Washington Sundar,LMP Simmons,0,0,0,73,97,40,37,0,4,10,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
61,E Lewis,Washington Sundar,LMP Simmons,0,0,0,73,97,40,38,1,5,10,-,,stumped,E Lewis,RR Pant,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
62,SO Hetmyer,Washington Sundar,LMP Simmons,0,0,0,73,97,0,1,1,6,10,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
63,LMP Simmons,S Dube,SO Hetmyer,2,0,2,75,95,32,25,1,1,11,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
64,LMP Simmons,S Dube,SO Hetmyer,1,0,1,76,94,33,26,1,2,11,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
65,SO Hetmyer,S Dube,LMP Simmons,1,1,2,78,92,1,2,1,3,11,noballs,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
66,LMP Simmons,S Dube,SO Hetmyer,4,0,4,82,88,37,27,1,4,11,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
67,LMP Simmons,S Dube,SO Hetmyer,1,0,1,83,87,38,28,1,5,11,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
68,SO Hetmyer,S Dube,LMP Simmons,0,0,0,83,87,1,3,1,6,11,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
69,SO Hetmyer,S Dube,LMP Simmons,0,0,0,83,87,1,4,1,7,11,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
70,LMP Simmons,RA Jadeja,SO Hetmyer,0,0,0,83,87,38,29,1,1,12,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
71,LMP Simmons,RA Jadeja,SO Hetmyer,1,0,1,84,86,39,30,1,2,12,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
72,SO Hetmyer,RA Jadeja,LMP Simmons,6,0,6,90,80,7,5,1,3,12,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
73,SO Hetmyer,RA Jadeja,LMP Simmons,0,0,0,90,80,7,6,1,4,12,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
74,SO Hetmyer,RA Jadeja,LMP Simmons,0,0,0,90,80,7,7,1,5,12,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
75,SO Hetmyer,RA Jadeja,LMP Simmons,1,0,1,91,79,8,8,1,6,12,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
76,SO Hetmyer,S Dube,LMP Simmons,1,0,1,92,78,9,9,1,1,13,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
77,LMP Simmons,S Dube,SO Hetmyer,4,0,4,96,74,43,31,1,2,13,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
78,LMP Simmons,S Dube,SO Hetmyer,0,0,0,96,74,43,32,1,3,13,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
79,LMP Simmons,S Dube,SO Hetmyer,1,0,1,97,73,44,33,1,4,13,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
80,SO Hetmyer,S Dube,LMP Simmons,0,0,0,97,73,9,10,1,5,13,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
81,SO Hetmyer,S Dube,LMP Simmons,2,0,2,99,71,11,11,1,6,13,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
82,LMP Simmons,RA Jadeja,SO Hetmyer,1,0,1,100,70,45,34,1,1,14,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
83,SO Hetmyer,RA Jadeja,LMP Simmons,6,0,6,106,64,17,12,1,2,14,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
84,SO Hetmyer,RA Jadeja,LMP Simmons,6,0,6,112,58,23,13,1,3,14,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
85,SO Hetmyer,RA Jadeja,LMP Simmons,0,0,0,112,58,23,14,2,4,14,-,,caught,SO Hetmyer,V Kohli,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
86,LMP Simmons,RA Jadeja,N Pooran,1,0,1,113,57,46,35,2,5,14,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
87,N Pooran,RA Jadeja,LMP Simmons,0,0,0,113,57,0,1,2,6,14,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
88,LMP Simmons,YS Chahal,N Pooran,0,0,0,113,57,46,36,2,1,15,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
89,LMP Simmons,YS Chahal,N Pooran,1,0,1,114,56,47,37,2,2,15,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
90,N Pooran,YS Chahal,LMP Simmons,0,0,0,114,56,0,2,2,3,15,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
91,N Pooran,YS Chahal,LMP Simmons,6,0,6,120,50,6,3,2,4,15,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
92,N Pooran,YS Chahal,LMP Simmons,1,0,1,121,49,7,4,2,5,15,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
93,LMP Simmons,YS Chahal,N Pooran,6,0,6,127,43,53,38,2,6,15,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
94,N Pooran,B Kumar,LMP Simmons,4,0,4,131,39,11,5,2,1,16,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
95,N Pooran,B Kumar,LMP Simmons,0,0,0,131,39,11,6,2,2,16,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
96,N Pooran,B Kumar,LMP Simmons,4,0,4,135,35,15,7,2,3,16,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
97,N Pooran,B Kumar,LMP Simmons,2,0,2,137,33,17,8,2,4,16,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
98,N Pooran,B Kumar,LMP Simmons,1,0,1,138,32,18,9,2,5,16,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
99,LMP Simmons,B Kumar,N Pooran,4,0,4,142,28,57,39,2,6,16,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
100,N Pooran,DL Chahar,LMP Simmons,0,0,0,142,28,18,10,2,1,17,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
101,N Pooran,DL Chahar,LMP Simmons,2,0,2,144,26,20,11,2,2,17,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
102,N Pooran,DL Chahar,LMP Simmons,1,0,1,145,25,21,12,2,3,17,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
103,LMP Simmons,DL Chahar,N Pooran,1,0,1,146,24,58,40,2,4,17,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
104,N Pooran,DL Chahar,LMP Simmons,1,0,1,147,23,22,13,2,5,17,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
105,LMP Simmons,DL Chahar,N Pooran,0,1,1,148,22,58,41,2,6,17,wides,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
106,LMP Simmons,DL Chahar,N Pooran,6,0,6,154,16,64,42,2,7,17,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
107,N Pooran,B Kumar,LMP Simmons,4,0,4,158,12,26,14,2,1,18,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
108,N Pooran,B Kumar,LMP Simmons,1,0,1,159,11,27,15,2,2,18,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
109,LMP Simmons,B Kumar,N Pooran,1,0,1,160,10,65,43,2,3,18,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
110,N Pooran,B Kumar,LMP Simmons,1,0,1,161,9,28,16,2,4,18,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
111,LMP Simmons,B Kumar,N Pooran,1,0,1,162,8,66,44,2,5,18,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
112,N Pooran,B Kumar,LMP Simmons,6,0,6,168,2,34,17,2,6,18,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
113,LMP Simmons,DL Chahar,N Pooran,0,0,0,168,2,66,45,2,1,19,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
114,LMP Simmons,DL Chahar,N Pooran,1,0,1,169,1,67,46,2,2,19,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
115,N Pooran,DL Chahar,LMP Simmons,4,0,4,173,-3,38,18,2,3,19,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India,173
