,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
15,JM Vince,SS Cottrell,EJG Morgan,0,0,0,10,,0,4,3,-,4.0,0,,,2,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
16,JM Vince,SS Cottrell,EJG Morgan,0,0,0,10,,0,5,3,-,5.0,0,,,2,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
17,JM Vince,SS Cottrell,EJG Morgan,0,0,0,10,,0,6,3,-,6.0,0,,,2,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
18,EJG Morgan,JO Holder,JM Vince,0,0,0,10,,0,1,3,-,1.0,0,,,3,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Medium
19,EJG Morgan,JO Holder,JM Vince,0,0,0,10,,0,2,3,-,2.0,0,,,3,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Medium
20,EJG Morgan,JO Holder,JM Vince,0,0,0,10,,0,3,3,-,3.0,0,,,3,"{'by': 'England', 'umpire': 'JS Wilson', 'batter': 'EJG Morgan', 'decision': 'upheld'}",field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Medium
21,EJG Morgan,JO Holder,JM Vince,0,0,0,10,,0,4,3,-,4.0,0,,,3,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Medium
22,EJG Morgan,JO Holder,JM Vince,0,0,0,10,,0,5,3,-,5.0,0,,,3,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Medium
23,EJG Morgan,JO Holder,JM Vince,0,0,0,10,,0,6,3,-,6.0,0,,,3,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Medium
24,JM Vince,SS Cottrell,EJG Morgan,4,0,4,14,,4,7,3,-,1.0,0,,,4,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
25,JM Vince,SS Cottrell,EJG Morgan,4,0,4,18,,8,8,3,-,2.0,0,,,4,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
26,JM Vince,SS Cottrell,EJG Morgan,0,0,0,18,,8,9,3,-,3.0,0,,,4,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
27,JM Vince,SS Cottrell,EJG Morgan,0,0,0,18,,8,10,3,-,4.0,0,,,4,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
28,JM Vince,SS Cottrell,EJG Morgan,6,0,6,24,,14,11,3,-,5.0,0,,,4,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
29,JM Vince,SS Cottrell,EJG Morgan,0,0,0,24,,14,12,4,-,6.0,caught,JM Vince,DM Bravo,4,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Fast
30,EJG Morgan,JO Holder,SW Billings,0,0,0,24,,0,7,4,-,1.0,0,,,5,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Right arm Medium
31,EJG Morgan,JO Holder,SW Billings,0,0,0,24,,0,8,4,-,2.0,0,,,5,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Right arm Medium
32,EJG Morgan,JO Holder,SW Billings,1,0,1,25,,1,9,4,-,3.0,0,,,5,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Right arm Medium
33,SW Billings,JO Holder,EJG Morgan,1,0,1,26,,1,1,4,-,4.0,0,,,5,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,,Left hand Bat,Right arm Medium
34,EJG Morgan,JO Holder,SW Billings,0,0,0,26,,1,10,4,-,5.0,0,,,5,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Right arm Medium
35,EJG Morgan,JO Holder,SW Billings,0,0,0,26,,1,11,4,-,6.0,0,,,5,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Right arm Medium
36,SW Billings,AJ Hosein,EJG Morgan,1,0,1,27,,2,2,4,-,1.0,0,,,6,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,,Left hand Bat,Left arm Orthodox
37,EJG Morgan,AJ Hosein,SW Billings,0,0,0,27,,1,12,4,-,2.0,0,,,6,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Left arm Orthodox
38,EJG Morgan,AJ Hosein,SW Billings,0,0,0,27,,1,13,4,-,3.0,0,,,6,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Left arm Orthodox
39,EJG Morgan,AJ Hosein,SW Billings,0,1,1,28,,1,14,4,wides,3.0,0,,,6,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Left arm Orthodox
40,EJG Morgan,AJ Hosein,SW Billings,1,0,1,29,,2,15,4,-,4.0,0,,,6,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,,Left arm Orthodox
41,SW Billings,AJ Hosein,EJG Morgan,0,0,0,29,,2,3,4,-,5.0,0,,,6,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,,Left hand Bat,Left arm Orthodox
42,SW Billings,AJ Hosein,EJG Morgan,0,0,0,29,,2,4,5,-,6.0,stumped,SW Billings,SD Hope,6,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,,Left hand Bat,Left arm Orthodox
43,EJG Morgan,R Shepherd,LA Dawson,0,1,1,30,,2,16,5,wides,0.0,0,,,7,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
44,EJG Morgan,R Shepherd,LA Dawson,0,1,1,31,,2,17,5,wides,0.0,0,,,7,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
45,EJG Morgan,R Shepherd,LA Dawson,1,0,1,32,,3,18,5,-,1.0,0,,,7,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
46,LA Dawson,R Shepherd,EJG Morgan,0,0,0,32,,0,1,5,-,2.0,0,,,7,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Right arm Fast
47,LA Dawson,R Shepherd,EJG Morgan,1,0,1,33,,1,2,5,-,3.0,0,,,7,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Right arm Fast
48,EJG Morgan,R Shepherd,LA Dawson,1,0,1,34,,4,19,5,-,4.0,0,,,7,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
49,LA Dawson,R Shepherd,EJG Morgan,0,0,0,34,,1,3,5,-,5.0,0,,,7,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Right arm Fast
50,LA Dawson,R Shepherd,EJG Morgan,0,0,0,34,,1,4,5,-,6.0,0,,,7,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Right arm Fast
51,EJG Morgan,AJ Hosein,LA Dawson,0,0,0,34,,4,20,5,-,1.0,0,,,8,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Left arm Orthodox
52,EJG Morgan,AJ Hosein,LA Dawson,0,0,0,34,,4,21,5,-,2.0,0,,,8,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Left arm Orthodox
53,EJG Morgan,AJ Hosein,LA Dawson,0,0,0,34,,4,22,5,-,3.0,0,,,8,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Left arm Orthodox
54,EJG Morgan,AJ Hosein,LA Dawson,1,0,1,35,,5,23,5,-,4.0,0,,,8,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Left arm Orthodox
55,LA Dawson,AJ Hosein,EJG Morgan,0,0,0,35,,1,5,5,-,5.0,0,,,8,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Orthodox
56,LA Dawson,AJ Hosein,EJG Morgan,0,0,0,35,,1,6,5,-,6.0,0,,,8,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Orthodox
57,EJG Morgan,OF Smith,LA Dawson,0,0,0,35,,5,24,5,-,1.0,0,,,9,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
58,EJG Morgan,OF Smith,LA Dawson,2,0,2,37,,7,25,5,-,2.0,0,,,9,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
59,EJG Morgan,OF Smith,LA Dawson,0,0,0,37,,7,26,5,-,3.0,0,,,9,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
60,EJG Morgan,OF Smith,LA Dawson,1,0,1,38,,8,27,5,-,4.0,0,,,9,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
61,LA Dawson,OF Smith,EJG Morgan,0,0,0,38,,1,7,5,-,5.0,0,,,9,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Right arm Fast
62,LA Dawson,OF Smith,EJG Morgan,1,0,1,39,,2,8,5,-,6.0,0,,,9,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Right arm Fast
63,LA Dawson,AJ Hosein,EJG Morgan,0,0,0,39,,2,9,6,-,1.0,run out,LA Dawson,SD Hope;KA Pollard,10,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Orthodox
64,CJ Jordan,AJ Hosein,EJG Morgan,0,0,0,39,,0,1,6,-,2.0,0,,,10,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Orthodox
65,CJ Jordan,AJ Hosein,EJG Morgan,1,0,1,40,,1,2,6,-,3.0,0,,,10,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Orthodox
66,EJG Morgan,AJ Hosein,CJ Jordan,1,0,1,41,,9,28,6,-,4.0,0,,,10,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Left arm Orthodox
67,CJ Jordan,AJ Hosein,EJG Morgan,0,0,0,41,,1,3,6,-,5.0,0,,,10,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Orthodox
68,CJ Jordan,AJ Hosein,EJG Morgan,0,0,0,41,,1,4,6,-,6.0,0,,,10,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Left hand Bat,Left arm Orthodox
69,EJG Morgan,R Shepherd,CJ Jordan,2,0,2,43,,11,29,6,-,1.0,0,,,11,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
70,EJG Morgan,R Shepherd,CJ Jordan,0,0,0,43,,11,30,6,-,2.0,0,,,11,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
71,EJG Morgan,R Shepherd,CJ Jordan,6,0,6,49,,17,31,6,-,3.0,0,,,11,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
72,EJG Morgan,R Shepherd,CJ Jordan,0,0,0,49,,17,32,7,-,4.0,caught,EJG Morgan,KA Pollard,11,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Left hand Bat,Right hand Bat,Right arm Fast
73,AU Rashid,R Shepherd,CJ Jordan,0,0,0,49,,0,1,7,-,5.0,0,,,11,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Fast
74,AU Rashid,R Shepherd,CJ Jordan,0,0,0,49,,0,2,7,-,6.0,0,,,11,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Fast
75,CJ Jordan,AJ Hosein,AU Rashid,0,0,0,49,,1,5,7,-,1.0,0,,,12,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Orthodox
76,CJ Jordan,AJ Hosein,AU Rashid,6,0,6,55,,7,6,7,-,2.0,0,,,12,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Orthodox
77,CJ Jordan,AJ Hosein,AU Rashid,2,0,2,57,,9,7,7,-,3.0,0,,,12,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Orthodox
78,CJ Jordan,AJ Hosein,AU Rashid,0,0,0,57,,9,8,7,-,4.0,0,,,12,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Orthodox
79,CJ Jordan,AJ Hosein,AU Rashid,2,0,2,59,,11,9,7,-,5.0,0,,,12,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Orthodox
80,CJ Jordan,AJ Hosein,AU Rashid,0,0,0,59,,11,10,7,-,6.0,0,,,12,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Orthodox
81,AU Rashid,R Shepherd,CJ Jordan,1,0,1,60,,1,3,7,-,1.0,0,,,13,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Fast
82,CJ Jordan,R Shepherd,AU Rashid,6,0,6,66,,17,11,7,-,2.0,0,,,13,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Fast
83,CJ Jordan,R Shepherd,AU Rashid,0,0,0,66,,17,12,7,-,3.0,0,,,13,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Fast
84,CJ Jordan,R Shepherd,AU Rashid,1,0,1,67,,18,13,7,-,4.0,0,,,13,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Fast
85,AU Rashid,R Shepherd,CJ Jordan,0,0,0,67,,1,4,7,-,5.0,0,,,13,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Fast
86,AU Rashid,R Shepherd,CJ Jordan,4,0,4,71,,5,5,7,-,6.0,0,,,13,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Fast
87,CJ Jordan,SS Cottrell,AU Rashid,0,0,0,71,,18,14,7,-,1.0,0,,,14,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Fast
88,CJ Jordan,SS Cottrell,AU Rashid,0,0,0,71,,18,15,7,-,2.0,0,,,14,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Fast
89,CJ Jordan,SS Cottrell,AU Rashid,1,0,1,72,,19,16,7,-,3.0,0,,,14,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Fast
90,AU Rashid,SS Cottrell,CJ Jordan,1,0,1,73,,6,6,7,-,4.0,0,,,14,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Fast
91,CJ Jordan,SS Cottrell,AU Rashid,2,0,2,75,,21,17,7,-,5.0,0,,,14,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Fast
92,CJ Jordan,SS Cottrell,AU Rashid,6,0,6,81,,27,18,7,-,6.0,0,,,14,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Left arm Fast
93,AU Rashid,KA Pollard,CJ Jordan,1,0,1,82,,7,7,7,-,1.0,0,,,15,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Medium
94,CJ Jordan,KA Pollard,AU Rashid,0,0,0,82,,27,19,7,-,2.0,0,,,15,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Medium
95,CJ Jordan,KA Pollard,AU Rashid,1,0,1,83,,28,20,7,-,3.0,0,,,15,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Medium
96,AU Rashid,KA Pollard,CJ Jordan,0,0,0,83,,7,8,7,-,4.0,0,,,15,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103,Right hand Bat,Right hand Bat,Right arm Medium
